epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2258,1.82188,3.54142,1.98155,0.01598,0.81332,0.08524,0.0329,1.61242,3.6806,1.8955,0.00012,0.00012,0.00012
2,83.9029,1.32277,3.24725,1.58064,0.0182,0.87096,0.10608,0.05332,1.56489,3.55883,1.83149,0.000247525,0.000247525,0.000247525
3,124.583,1.26603,2.86542,1.56304,0.01592,0.86668,0.11851,0.05365,1.73201,3.35922,2.04223,0.000372476,0.000372476,0.000372476
4,165.694,1.29228,2.60955,1.5715,0.32752,0.14076,0.14535,0.07929,1.66901,3.04912,2.0029,0.000494853,0.000494853,0.000494853
5,207.115,1.30283,2.45249,1.55608,0.73322,0.09595,0.08326,0.04279,2.21077,3.85858,2.7082,0.000614656,0.000614656,0.000614656
6,250.503,1.2523,2.36016,1.54689,0.27574,0.23322,0.1239,0.05425,1.99157,3.59571,2.23676,0.000731885,0.000731885,0.000731885
7,299.632,1.29648,2.25792,1.54665,0.36598,0.30792,0.18456,0.08164,1.88593,3.34695,2.14862,0.00084654,0.00084654,0.00084654
8,349.213,1.24534,2.19299,1.53049,0.3853,0.40093,0.2828,0.1325,1.6261,2.92651,2.02399,0.0009307,0.0009307,0.0009307
9,397.852,1.28734,2.12202,1.5407,0.55741,0.34826,0.32786,0.15719,1.55846,3.20115,2.03962,0.0009208,0.0009208,0.0009208
10,446.791,1.18406,2.04208,1.4935,0.46749,0.40074,0.35357,0.17634,1.67722,3.18742,2.12809,0.0009109,0.0009109,0.0009109
11,494.658,1.19429,1.99853,1.49746,0.49719,0.34852,0.36058,0.1919,1.63138,3.03828,2.02512,0.000901,0.000901,0.000901
12,542.889,1.23945,1.92881,1.51466,0.4375,0.42304,0.43509,0.20599,1.64761,2.80098,2.00544,0.0008911,0.0008911,0.0008911
13,591.057,1.18254,1.84511,1.44326,0.46093,0.5265,0.47026,0.23886,1.58177,3.14799,2.02279,0.0008812,0.0008812,0.0008812
14,639.016,1.17379,1.78688,1.45059,0.49148,0.47587,0.47098,0.22538,1.64947,2.67132,2.03994,0.0008713,0.0008713,0.0008713
15,687.315,1.16234,1.76297,1.42594,0.53699,0.40203,0.44789,0.19855,1.77779,3.44427,2.20645,0.0008614,0.0008614,0.0008614
16,735.74,1.14404,1.73365,1.40992,0.51491,0.46525,0.46156,0.25642,1.62576,2.35017,1.9112,0.0008515,0.0008515,0.0008515
17,783.85,1.10011,1.70349,1.38227,0.58058,0.47517,0.50956,0.26413,1.6301,2.39042,1.96079,0.0008416,0.0008416,0.0008416
18,832.75,1.09709,1.65587,1.36908,0.44671,0.51957,0.46791,0.23756,1.6866,2.50248,2.07221,0.0008317,0.0008317,0.0008317
19,881.626,1.09134,1.61857,1.35526,0.5595,0.36631,0.37567,0.22854,1.55844,2.54093,1.96943,0.0008218,0.0008218,0.0008218
20,930.092,1.10118,1.55575,1.37082,0.66842,0.48713,0.56018,0.32664,1.5373,2.16584,1.87209,0.0008119,0.0008119,0.0008119
21,978.481,1.08718,1.52929,1.37422,0.61487,0.52875,0.52081,0.30152,1.51754,2.30095,1.79401,0.000802,0.000802,0.000802
22,1027.2,1.03508,1.4639,1.31759,0.44612,0.56135,0.45742,0.25385,1.49995,2.3982,1.73999,0.0007921,0.0007921,0.0007921
23,1075.58,1.07321,1.52396,1.36397,0.5956,0.49805,0.50068,0.25369,1.6322,2.39915,1.93855,0.0007822,0.0007822,0.0007822
24,1124.34,1.07677,1.52097,1.35114,0.72154,0.35853,0.51017,0.28866,1.55543,2.35572,1.86221,0.0007723,0.0007723,0.0007723
25,1173.31,1.04315,1.50053,1.3234,0.65295,0.47187,0.5148,0.26688,1.64368,2.54369,1.96327,0.0007624,0.0007624,0.0007624
26,1221.65,1.01672,1.42035,1.31113,0.56846,0.51671,0.54892,0.28332,1.55231,2.48484,1.82826,0.0007525,0.0007525,0.0007525
27,1269.95,1.02158,1.42464,1.30027,0.44676,0.45898,0.43069,0.22078,1.78933,2.72111,1.99789,0.0007426,0.0007426,0.0007426
28,1319.99,1.03858,1.38911,1.30559,0.57364,0.59047,0.59695,0.33207,1.5086,2.20918,1.7974,0.0007327,0.0007327,0.0007327
